target,asymptote,dose,r,x_2,y_21,B0_21,meanB1,meanB2,meanB3,maxB1,maxB2,maxB3,minB1,minB2,minB3,stabilityB1,stabilityB2,stabilityB3,sp_survival
y,8.0,0.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635992579106475,0.32996235350196035,0.07860354073426729,0.18988588268300174,0.3299623535019618,0.07860354073426748,0.1898858826830026,0.32996235350196124,0.07860354073426688,0.18988588268300205,-3.590095859027362e-15,-2.8830922865566222e-15,-3.2817791649529354e-15,3
y,8.0,1.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755787943e-5,2.635992579106475,0.3299623535019601,0.07860354073426953,0.18988588268300066,0.32996235350196107,0.0786035407342695,0.18988588268300027,0.32996235350196107,0.0786035407342695,0.18988588268300027,-2.8621380600392127e-15,-3.533734730896667e-16,-2.0479125731478506e-15,3
y,8.0,2.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755715432e-5,2.635992579106475,0.32996235350184544,0.07860354073479787,0.18988588268252,0.32996235350184505,0.07860354073479796,0.189885882682521,0.32996235350184505,0.07860354073479796,0.189885882682521,-1.1785274364871441e-15,-1.0601204192618746e-15,-5.266060902393518e-15,3
y,8.0,3.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426753922604e-5,2.635992579106475,0.32996235349897574,0.07860354074786356,0.1898858826706663,0.32996235349897635,0.0786035407478635,0.18988588267066714,0.32996235349897635,0.0786035407478635,0.18988588267066714,-1.8519716859244764e-15,-7.067469460571055e-16,-4.388384085601878e-15,3
y,8.0,4.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426737153058e-5,2.635992579106475,0.32996235347214087,0.07860354087007454,0.18988588255979205,0.32996235347214203,0.07860354087007461,0.1898858825597911,0.32996235347214203,0.07860354087007461,0.1898858825597911,-3.5355823097797206e-15,-8.834336811978396e-16,-4.973501966586153e-15,3
y,8.0,5.0,4.900749719809166e-7,2.7338159268322533e-7,1.110742664471396e-5,2.635992579106475,0.3299623533242242,0.07860354154374184,0.18988588194860512,0.329962353324225,0.07860354154374194,0.18988588194860517,0.32996235332422447,0.07860354154374136,0.18988588194860473,-1.8970564123490207e-15,-3.558753314380816e-15,-1.403558947487715e-15,3
y,8.0,6.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426278189228e-5,2.635992579106475,0.3299623527377247,0.0786035442148588,0.18988587952522812,0.3299623527377261,0.07860354421485893,0.1898858795252283,0.3299623527377261,0.07860354421485893,0.1898858795252283,-4.3773876313750385e-15,-1.7668672872108998e-15,-1.0239563036021584e-15,3
y,8.0,7.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107425116566584e-5,2.635992579106475,0.32996235087894354,0.07860355268040249,0.189885871844846,0.32996235087894327,0.07860355268040303,0.1898858718448472,0.3299623508789426,0.07860355268040242,0.1898858718448466,-1.9807663044424117e-15,-3.9787752147280375e-15,-4.795410761795499e-15,3
y,8.0,8.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107421985186812e-5,2.635992579106475,0.32996234586822903,0.07860357550093147,0.18988585114087833,0.32996234586822915,0.07860357550093117,0.18988585114087725,0.32996234586822915,0.07860357550093117,0.18988585114087725,-3.3672213250061525e-16,-3.8871064847035145e-15,-5.704900258558211e-15,3
y,8.0,9.0,4.900749719809166e-7,2.7338159268322533e-7,1.110741451546122e-5,2.635992579106475,0.32996233391544777,0.07860362993803593,0.1898858017527037,0.3299623339154493,0.0786036299380361,0.189885801752704,0.3299623339154493,0.0786036299380361,0.189885801752704,-4.7141100257757536e-15,-2.1202384323708984e-15,-1.6090748504117823e-15,3
y,8.0,10.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107398320848524e-5,2.635992579106475,0.32996230800136994,0.07860374795974465,0.18988569467727182,0.3299623080013687,0.07860374795974479,0.1898856946772707,0.3299623080013687,0.07860374795974479,0.1898856946772707,-3.7039438825756365e-15,-1.7668627074016275e-15,-5.851184573671538e-15,3
y,8.0,11.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107365803148113e-5,2.635992579106475,0.32996225596738815,0.07860398494052098,0.18988547967597696,0.32996225596738904,0.0786039849405206,0.18988547967597627,0.32996225596738904,0.0786039849405206,0.18988547967597627,-2.693777793945906e-15,-4.9472006655139605e-15,-3.65699449923869e-15,3
y,8.0,12.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107304491785066e-5,2.635992579106475,0.32996215785767913,0.07860443176611306,0.1898850742925168,0.3299621578576796,0.07860443176611331,0.18988507429251603,0.3299621578576796,0.07860443176611331,0.18988507429251603,-1.5152504596333203e-15,-3.1803252063644677e-15,-4.095842583295867e-15,3
y,8.0,13.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107194807499493e-5,2.635992579106475,0.3299619823393971,0.07860523113707066,0.18988434906145146,0.3299619823393957,0.07860523113707074,0.1898843490614521,0.3299619823393957,0.07860523113707074,0.1898843490614521,-4.209031293466296e-15,-1.0600976214157234e-15,-3.364454971909082e-15,3
y,8.0,14.0,4.900749719809166e-7,2.7338159268322533e-7,1.110700713083927e-5,2.635992579106475,0.3299616820083173,0.07860659894839404,0.18988310811137396,0.329961682008317,0.0786065989483943,0.1898831081113736,0.329961682008317,0.0786065989483943,0.1898831081113736,-1.010168429886247e-15,-3.180237524865367e-15,-1.9016608902967052e-15,3
y,8.0,15.0,4.900749719809166e-7,2.7338159268322533e-7,1.1106698045329472e-5,2.635992579106475,0.3299611873688107,0.07860885170658347,0.18988106429048857,0.32996118736881225,0.07860885170658342,0.18988106429048765,0.32996118736881225,0.07860885170658342,0.18988106429048765,-4.7141264063296e-15,-5.300243976993685e-16,-4.827344988699719e-15,3
y,8.0,16.0,4.900749719809166e-7,2.7338159268322533e-7,1.1106205615566748e-5,2.635992579106475,0.329960399258611,0.07861244102924803,0.18987780786621744,0.32996039925861204,0.07861244102924834,0.18987780786621708,0.32996039925861204,0.07861244102924834,0.18987780786621708,-3.1988791305118514e-15,-4.0633348482960285e-15,-1.901713973219014e-15,3
y,8.0,17.0,4.900749719809166e-7,2.7338159268322533e-7,1.1105443552447514e-5,2.635992579106475,0.3299591794702931,0.078617996356795,0.18987276777374218,0.32995917947029174,0.07861799635679485,0.18987276777374132,0.32995917947029174,0.07861799635679485,0.18987276777374132,-4.0407043655771515e-15,-1.943196737448683e-15,-4.534976773525023e-15,3
y,8.0,18.0,4.900749719809166e-7,2.7338159268322533e-7,1.1104294112374653e-5,2.635992579106475,0.32995733930268467,0.07862637709053606,0.1898651643111099,0.3299573393026847,0.07862637709053558,0.18986516431111025,0.3299573393026847,0.07862637709053558,0.18986516431111025,-1.683636208554426e-16,-6.182239678963306e-15,-1.9018406126976484e-15,3
y,8.0,19.0,4.900749719809166e-7,2.7338159268322533e-7,1.1102599576272769e-5,2.635992579106475,0.3299546257564582,0.0786387354574515,0.1898539521001988,0.32995462575645934,0.0786387354574513,0.1898539521001982,0.32995462575645934,0.0786387354574513,0.1898539521001982,-3.535665115028473e-15,-2.472507246891055e-15,-3.0723855019190906e-15,3
y,8.0,20.0,4.900749719809166e-7,2.7338159268322533e-7,1.1100152160068603e-5,2.635992579106475,0.3299507050687255,0.07865659148914962,0.18983775205268172,0.32995070506872587,0.0786565914891493,0.1898377520526812,0.32995070506872587,0.0786565914891493,0.1898377520526812,-1.1785690426962326e-15,-4.061054071836102e-15,-2.7800145747375286e-15,3
y,8.0,21.0,4.900749719809166e-7,2.7338159268322533e-7,1.1096682224558705e-5,2.635992579106475,0.32994514326152147,0.07868192159222158,0.18981477099754382,0.32994514326152186,0.07868192159222202,0.189814770997545,0.32994514326152147,0.07868192159222145,0.1898147709975446,-7.98115685752195e-16,-3.1555704709134193e-15,-5.265289282519377e-15,3
y,8.0,22.0,4.900749719809166e-7,2.7338159268322533e-7,1.1091844684334057e-5,2.635992579106475,0.32993738335807654,0.07871726228034662,0.18978270754004145,0.32993738335807715,0.0787172622803471,0.18978270754004228,0.3299373833580768,0.07871726228034652,0.18978270754004178,-1.4367525248298828e-15,-3.660270804950922e-15,-3.297406749152309e-15,3
y,8.0,23.0,4.900749719809166e-7,2.7338159268322533e-7,1.1085203569520842e-5,2.635992579106475,0.32992671889839287,0.07876583073671975,0.18973864262966358,0.32992671889839403,0.07876583073671964,0.1897386426296641,0.32992671889839403,0.07876583073671964,0.1897386426296641,-3.535964179332392e-15,-1.4105815136646489e-15,-2.7814667071901784e-15,3
y,8.0,24.0,4.900749719809166e-7,2.7338159268322533e-7,1.1076214779551681e-5,2.635992579106475,0.3299122633613455,0.07883166398097066,0.18967891321406627,0.32991226336134466,0.07883166398097044,0.18967891321406544,0.32991226336134466,0.07883166398097044,0.18967891321406544,-2.525799365874833e-15,-2.818807041101547e-15,-4.393172501215184e-15,3
y,8.0,25.0,4.900749719809166e-7,2.7338159268322533e-7,1.1064207196427183e-5,2.635992579106475,0.3298929150732746,0.07891977853074161,0.1895989672435192,0.32989291507327606,0.0789197785307416,0.18959896724351943,0.32989291507327606,0.0789197785307416,0.18959896724351943,-4.3783090078570035e-15,-1.7597873881256632e-16,-1.1720066449829613e-15,3
y,8.0,26.0,4.900749719809166e-7,2.7338159268322533e-7,1.1048362509739447e-5,2.635992579106475,0.3298673171519798,0.07903635257854966,0.1894931981617981,0.32986731715198087,0.07903635257855002,0.1894931981617974,0.3298673171519805,0.07903635257854943,0.18949319816179688,-2.6767004231960812e-15,-2.731984031878724e-15,-5.2157871894105434e-15,3
y,8.0,27.0,4.900749719809166e-7,2.7338159268322533e-7,1.1027694362641476e-5,2.635992579106475,0.32983381199830286,0.07918893285496728,0.18935475686820286,0.32983381199830286,0.07918893285496728,0.18935475686820186,0.32983381199830286,0.07918893285496728,0.18935475686820186,-0.0,-0.0,-5.280831806126209e-15,3
y,8.0,28.0,4.900749719809166e-7,2.7338159268322533e-7,1.1001027772715416e-5,2.635992579106475,0.32979038980369946,0.07938666852650086,0.189175338953883,0.32979038980369835,0.0793866685265012,0.18917533895388405,0.32979038980369835,0.0793866685265012,0.18917533895388405,-3.3689770284631052e-15,-4.198650484063317e-15,-5.579498051493057e-15,3
